Comment,Designator,Footprint,LCSC Part #
33pF,"C1,C2",C_0402_1005Metric,C1562
100nF,"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C20",C_0402_1005Metric,C1525
1uF,"C14,C15,C17,C18",C_0402_1005Metric,C14445
10uF,"C16,C19,C21",C_0805_2012Metric,C440198
B5819W,D1,SOD-123,C8598
Header 2x3 2.54mm,J1,PinHeader_2x03_P2.54mm_Vertical,C65114
TYPE-C-31-M-12,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Green LED,LED1,LED_0603_1608Metric,C2289
Red LED,"LED2,LED3",LED_0402_1005Metric,C130719
AO3401A,Q1,SOT-23,C15127
AO3400A,Q2,SOT-23,C20917
1k,"R1,R2,R3",R_0402_1005Metric,C11702
100k,"R5,R11",R_0402_1005Metric,C25741
1R,R6,R_0402_1005Metric,C25086
27R,"R7,R8",R_0402_1005Metric,C25156
5.1k,"R9,R10",R_0402_1005Metric,C25905
470R,"R12,R13",R_0402_1005Metric,C25117
TS-1187A,"SW1,SW2,SW3,SW4",SW_TS-1187A,C318884
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm,C2040
W25Q128JVSIQ,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521
ME6211C33M5G-N,U3,SOT-23-5,C82942
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
