Designator,Mid X,Mid Y,Layer,Rotation
C1,125.5000,-132.0000,Bottom,90.00
C2,116.5000,-135.5000,Bottom,90.00
C3,119.0000,-117.0000,Bottom,90.00
C4,132.8000,-117.0000,Bottom,90.00
C5,119.0000,-126.8000,Bottom,90.00
C6,132.8000,-126.8000,Bottom,90.00
C7,120.5000,-114.2000,Bottom,0.00
C8,126.0000,-129.8000,Bottom,0.00
C9,124.0000,-114.2000,Bottom,0.00
C10,127.2000,-114.2000,Bottom,0.00
C11,137.5000,-115.0000,Bottom,0.00
C12,122.6000,-112.2000,Bottom,0.00
C13,126.4000,-112.2000,Bottom,0.00
C14,124.5000,-110.4000,Bottom,0.00
C15,132.8000,-119.8000,Bottom,90.00
C16,118.0000,-122.0000,Bottom,90.00
C17,137.0000,-134.5000,Bottom,90.00
C18,129.5000,-134.5000,Bottom,90.00
C19,107.0000,-113.0000,Bottom,90.00
C20,144.0000,-118.5000,Bottom,90.00
C21,144.0000,-115.0000,Bottom,90.00
D1,127.0000,-137.0000,Bottom,90.00
J1,118.0800,-107.0400,Bottom,90.00
J2,144.0000,-138.0000,Bottom,180.00
Q1,111.0000,-113.0000,Bottom,0.00
Q2,143.5000,-126.5000,Bottom,0.00
R1,116.5000,-132.0000,Bottom,90.00
R2,140.0000,-108.0000,Bottom,0.00
R3,128.5000,-133.0000,Bottom,0.00
R5,108.0000,-122.0000,Bottom,90.00
R6,143.5000,-123.5000,Bottom,0.00
R7,138.2000,-128.4000,Bottom,0.00
R8,138.2000,-130.2000,Bottom,0.00
R9,150.0000,-132.0000,Bottom,90.00
R10,154.8000,-131.6000,Bottom,90.00
R11,143.5000,-129.5000,Bottom,0.00
SW4,146.0000,-108.0000,Bottom,0.00
U1,126.0000,-122.0000,Bottom,180.00
U2,133.5000,-111.0000,Bottom,90.00
U3,133.0000,-137.0000,Bottom,0.00
Y1,121.0000,-132.0000,Bottom,0.00
LED1,137.8000,-136.3000,Top,90.00
LED2,127.5000,-90.9000,Top,-66.04
LED3,148.3000,-91.8100,Top,-130.36
R12,131.1000,-101.5000,Top,66.04
R13,141.9000,-101.5000,Top,113.96
SW1,151.0000,-120.0000,Top,0.00
SW2,151.0000,-112.0000,Top,0.00
SW3,151.0000,-128.0000,Top,0.00
