Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0402_1005Metric","C_0402_1005Metric",125.500000,-132.000000,90.000000,bottom
"C2","C_0402_1005Metric","C_0402_1005Metric",116.500000,-135.500000,90.000000,bottom
"C3","C_0402_1005Metric","C_0402_1005Metric",119.000000,-117.000000,90.000000,bottom
"C4","C_0402_1005Metric","C_0402_1005Metric",132.800000,-117.000000,90.000000,bottom
"C5","C_0402_1005Metric","C_0402_1005Metric",119.000000,-126.800000,90.000000,bottom
"C6","C_0402_1005Metric","C_0402_1005Metric",132.800000,-126.800000,90.000000,bottom
"C7","C_0402_1005Metric","C_0402_1005Metric",120.500000,-114.200000,0.000000,bottom
"C8","C_0402_1005Metric","C_0402_1005Metric",126.000000,-129.800000,0.000000,bottom
"C9","C_0402_1005Metric","C_0402_1005Metric",124.000000,-114.200000,0.000000,bottom
"C10","C_0402_1005Metric","C_0402_1005Metric",127.200000,-114.200000,0.000000,bottom
"C11","C_0402_1005Metric","C_0402_1005Metric",137.500000,-115.000000,0.000000,bottom
"C12","C_0402_1005Metric","C_0402_1005Metric",122.600000,-112.200000,0.000000,bottom
"C13","C_0402_1005Metric","C_0402_1005Metric",126.400000,-112.200000,0.000000,bottom
"C14","C_0402_1005Metric","C_0402_1005Metric",124.500000,-110.400000,0.000000,bottom
"C15","C_0402_1005Metric","C_0402_1005Metric",132.800000,-119.800000,90.000000,bottom
"C16","C_0805_2012Metric","C_0805_2012Metric",118.000000,-122.000000,90.000000,bottom
"C17","C_0402_1005Metric","C_0402_1005Metric",137.000000,-134.500000,90.000000,bottom
"C18","C_0402_1005Metric","C_0402_1005Metric",129.500000,-134.500000,90.000000,bottom
"C19","C_0805_2012Metric","C_0805_2012Metric",107.000000,-113.000000,90.000000,bottom
"C20","C_0402_1005Metric","C_0402_1005Metric",144.000000,-118.500000,90.000000,bottom
"C21","C_0805_2012Metric","C_0805_2012Metric",144.000000,-115.000000,90.000000,bottom
"D1","D_SOD-123","D_SOD-123",127.000000,-137.000000,90.000000,bottom
"J1","PinHeader_2x03_P2.54mm_Vertical","PinHeader_2x03_P2.54mm_Vertical",118.080000,-107.040000,90.000000,bottom
"J2","USB_C_Receptacle_HRO_TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",144.000000,-138.000000,180.000000,bottom
"Q1","SOT-23","SOT-23",111.000000,-113.000000,0.000000,bottom
"Q2","SOT-23","SOT-23",143.500000,-126.500000,0.000000,bottom
"R1","R_0402_1005Metric","R_0402_1005Metric",116.500000,-132.000000,90.000000,bottom
"R2","R_0402_1005Metric","R_0402_1005Metric",140.000000,-108.000000,0.000000,bottom
"R3","R_0402_1005Metric","R_0402_1005Metric",128.500000,-133.000000,0.000000,bottom
"R5","R_0402_1005Metric","R_0402_1005Metric",108.000000,-122.000000,90.000000,bottom
"R6","R_0402_1005Metric","R_0402_1005Metric",143.500000,-123.500000,0.000000,bottom
"R7","R_0402_1005Metric","R_0402_1005Metric",138.200000,-128.400000,0.000000,bottom
"R8","R_0402_1005Metric","R_0402_1005Metric",138.200000,-130.199999,0.000000,bottom
"R9","R_0402_1005Metric","R_0402_1005Metric",150.000000,-132.000000,90.000000,bottom
"R10","R_0402_1005Metric","R_0402_1005Metric",154.800000,-131.600000,90.000000,bottom
"R11","R_0402_1005Metric","R_0402_1005Metric",143.500000,-129.500000,0.000000,bottom
"SW4","SW_TS-1187A","SW_TS-1187A",146.000000,-108.000000,0.000000,bottom
"U1","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias",126.000000,-122.000000,180.000000,bottom
"U2","SOIC-8_5.3x5.3mm_P1.27mm","SOIC-8_5.3x5.3mm_P1.27mm",133.500000,-111.000000,90.000000,bottom
"U3","SOT-23-5","SOT-23-5",133.000000,-137.000000,0.000000,bottom
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","Crystal_SMD_3225-4Pin_3.2x2.5mm",121.000000,-132.000000,0.000000,bottom
"LED1","LED_0603_1608Metric","LED_0603_1608Metric",137.800000,-136.300000,90.000000,top
"LED2","red","LED_0402_1005Metric",127.500000,-90.900000,-66.037511,top
"LED3","red","LED_0402_1005Metric",148.300000,-91.810000,-130.364537,top
"R12","470R","R_0402_1005Metric",131.100000,-101.500000,66.037511,top
"R13","470R","R_0402_1005Metric",141.900000,-101.500000,113.962489,top
"SW1","SW_TS-1187A","SW_TS-1187A",151.000000,-120.000000,0.000000,top
"SW2","SW_TS-1187A","SW_TS-1187A",151.000000,-112.000000,0.000000,top
"SW3","SW_TS-1187A","SW_TS-1187A",151.000000,-128.000000,0.000000,top
