Item,Designator,Qty,Manufacturer P/N or Value,Package/Footprint,LCSC,Notes
1,"C1,C2",2,33pF,C_0402_1005Metric,C1562,
2,"C14,C15,C17,C18",4,1uF,C_0402_1005Metric,,
3,"C16,C19,C21",3,10uF,C_0805_2012Metric,,
4,"C10,C11,C12,C13,C20,C3,C4,C5,C6,C7,C8,C9",12,100nF,C_0402_1005Metric,,
5,D1,1,B5819W,D_SOD-123,C8598,
6,J1,1,SAO_1.69bis,PinHeader_2x03_P2.54mm_Vertical,C65114,"THT male header, mount on BACK side"
7,J2,1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,
8,J3,1,N114-2413THBIG01-H13,TFT_FPC_13P_N114,C2890618,DO NOT SMT: hand-solder after assembly (or PCBWay hand-solder)
9,LED1,1,green,LED_0603_1608Metric,C72043,
10,"LED2,LED3",2,red,LED_0402_1005Metric,C130719,
11,Q1,1,AO3401A,SOT-23,C15127,
12,Q2,1,AO3400A,SOT-23,C20917,
13,"R1,R2,R3",3,1k,R_0402_1005Metric,,
14,"R12,R13",2,470R,R_0402_1005Metric,,
15,"R11,R5",2,100k,R_0402_1005Metric,,
16,R6,1,1R,R_0402_1005Metric,,
17,"R7,R8",2,27R,R_0402_1005Metric,,
18,"R10,R9",2,5.1k,R_0402_1005Metric,,
19,SW1,1,CH-,SW_TS-1187A,C318884,
20,SW2,1,CH+,SW_TS-1187A,C318884,
21,SW3,1,MODE,SW_TS-1187A,C318884,
22,SW4,1,BOOT,SW_TS-1187A,C318884,
23,TP1,1,SWCLK,TestPoint_Pad_1.5x1.5mm,,
24,TP2,1,SWDIO,TestPoint_Pad_1.5x1.5mm,,
25,TP3,1,GND,TestPoint_Pad_1.5x1.5mm,,
26,TP4,1,VDD,TestPoint_Pad_1.5x1.5mm,,
27,U1,1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,C2040,
28,U2,1,W25Q128JVSIQ,SOIC-8_5.3x5.3mm_P1.27mm,C97521,
29,U3,1,ME6211C33M5G-N,SOT-23-5,C82942,
30,Y1,1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,
